Year,Author,Journal ,Title,Article Definition,Procedural Definition Coder 1,Process Definintion Coder 1,Unsure Coder 1,Procedural Definition Coder 2,Process Definintion Coder 2,Unsure Coder 2,Include,Notes
2018,Garner; Joshua; Neef; Nancy A; Gardner; Ralph,Journal of Applied Behavior Analysis,Recurrence of Phonetic Responding,"Resurgence is a type of recurrence in which placing an originally reinforced response on extinction results in  the recurrence of an earlier reinforced response (R1). In this paradigm, R1 is reinforced in baseline and then extinguished while an alternative response (R2) is differentially reinforced. R2 is later placed on extinction, resulting in  the recurrence of R1 ",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2018,"Ho, Thuong; Bai, John Y H; Keevy, Madeleine; Podlesnik, Christopher A",Journal of the Experimental Analysis of Behavior,Resurgence when challenging alternative behavior with progressive ratios in children and pigeons.,Resurgence is defined as the recurrence of a previously reinforced response when reducing or eliminating  reinforcement for a more recently reinforced response,,1,,,1,,1,
2018,"Kestner, Kathryn M; Diaz-Salvat, Claudia C; St Peter, Claire C; Peterson, Stephanie M",Journal of the Experimental Analysis of Behavior,Assessing the repeatability of resurgence in humans: Implications for the use of within-subject designs.,"Resurgence is the reemergence of a previously extinguished response following the worsening of reinforcement conditions (e.g., the disruption or cessation of reinforcement) for an alternative response.",,1,,,1,,1,
2018,"Kestner, Kathryn M.; Romano, Lucie M.; St. Peter, Claire C.; Mesches, Gabrielle A.",The Psychological Record,Resurgence following response cost in a human-operant procedure,Resurgence refers to the temporary reemergence of a previously reinforced behavior following the extinction of an alternative behavior,,1,,,1,,1,
2018,"Kimball, Ryan T; Kelley, Michael E; Podlesnik, Christopher A; Forton, Alex; Hinkle, Brandy",Journal of Applied Behavior Analysis,Resurgence with and without an alternative response.,Resurgence refers to the reemergence of an extinguished target response after placing amore recently reinforced alternative response on extinction,,1,,,1,,1,
2018,"Kincaid, Stephanie L; Lattal, Kennon A",Journal of the Experimental Analysis of Behavior,"Beyond the breakpoint: reinstatement, renewal, and resurgence of ratio-strained behavior.","Resurgence is the recurrence of a previously reinforced response when reinforcement for a particular response is degraded, most commonly  by  extinguishing  it ",,1,,,1,,1,
2018,"Liggett, Ashley P; Nastri, Regina; Podlesnik, Christopher A",Journal of the Experimental Analysis of Behavior,Assessing the combined effects of resurgence and reinstatement in children diagnosed with autism spectrum disorder.,Resurgence is a laboratory model of relapse characterized by the reappearance of an extinguished operant response upon eliminating or reducing an alternative source of reinforcement,,1,,,1,,1,
2018,"Nall, Rusty W; Craig, Andrew R; Browning, Kaitlyn O; Shahan, Timothy A",Behavioural Brain Research,Longer treatment with alternative non-drug reinforcement fails to reduce resurgence of cocaine or alcohol seeking in rats.,Relapse following the loss of alternative reinforcement is known as resurgence,,1,,,1,,1,
2018,"Nighbor, Tyler D.; Kincaid, Stephanie L.; O'Hearn, Christopher M.; Lattal, Kennon A.",Journal of the Experimental Analysis of Behavior,Stimulus contributions to operant resurgence,"Resurgence, the recurrence of previously reinforced but not currently present behavior, typically is studied using a three-phase procedure. ",,1,,,1,,1,
2018,"Oliver, Anthony C.; Nighbor, Tyler D.; Lattal, Kennon A.",Journal of the Experimental Analysis of Behavior,Reinforcer magnitude and resurgence,"In what has become the standard demonstration of operant-response resurgence, a transient recovery of a previously reinforced response occurs when reinforcement of a current response is eliminated",,1,,,1,,1,
2018,"Trask, Sydney; Keim, Christopher L; Bouton, Mark E",Journal of the Experimental Analysis of Behavior,Factors that encourage generalization from extinction to test reduce resurgence of an extinguished operant response.,"In  resurgence, an extinguished  operant behavior recovers when reinforcement  for an alternative second behavior is removed",,1,,,1,,1,
2019,"Cook, James E.; Lattal, Kennon A.",Journal of the Experimental Analysis of Behavior,"Repeated, within‐session resurgence","Resurgence is the reappearance of a response not currently reinforced when the conditions of reinforcement of a current response are worsened (e.g., decreased rein-forcer frequency, magnitude, or quality)",,1,,,1,,1,
2019,"Cox, David J; Bolívar, Hypatia A; Barlow, Molly A",Behavioural Processes,Multiple control responses and resurgence of human behavior.,The term “resurgence” is used to describe the reoccurrence of a previously extinguished behavior when reinforcement for an alternative response is withheld or reinforcement conditions worsen.,,1,,,1,,1,
2019,"Lattal, Kennon A.; Solley, Elizabeth A.; Cançado, Carlos R. X.; Oliver, Anthony C.",Journal of the Experimental Analysis of Behavior,Hierarchical resurgence,"Resurgence is a transient recovery of a previously reinforced, target, response, when reinforcement  conditions for a currently reinforced, alternative, response, are degraded or otherwise worsened",,1,,,1,,1,
2019,"Podlesnik CA, Kuroda T, Jimenez-Gomez C, Abreu-Rodrigues J, Cançado CRX, Blackman AL, Silverman K, Villegas-Barker J, Galbato M, Teixeira ISC.",Journal of the Experimental Analysis of Behavior,Resurgence is greater following a return to the training context than remaining in the extinction context,"Resurgence procedures are one approach to modeling challenges to DRA treatments to uncover processes relevant to understanding the recurrence of problem behavior. Specifically, a target response simulating problem behavior eliminated by DRA returns upon the reduction or removal of an alternative source of reinforcement",,1,,,1,,1,
2019,"Reed, Phil",Heliyon,"Behavioral resurgence in individuals varying in depression, anxiety, and autism-associated tendencies","A further situation in which behavior reoccurs after extinction is when an alternative behavior, that has been reinforced to replace it, is also extinguished. This phenomenon is known as ‘resurgence’.",,1,,,1,,1,
2019,"Thrailkill, Eric A.; Ameden, Wesley C.; Bouton, Mark E.",Journal of Experimental Psychology: Animal Learning and Cognition,Resurgence in humans: Reducing relapse by increasing generalization between treatment and testing,Resurgence refers to the increase of an extinguished operant response observed when extinction is introduced for a response that has been reinforced to replace it,,1,,,1,,1,
2019,"Trask, Sydney",Learning & Behavior,Cues Associated with Alternative Reinforcement During Extinction Can Attenuate Resurgence of an Extinguished Instrumental Response.,"Extinguished operant responding can also recover in a phenomenon known as resurgence. In a standard resurgence paradigm, a target response, R1, is reinforced and then extinguished. While R1 is extinguished, a newly available replacement response, R2, is reinforced. During a test, both responses are available and neither is reinforced. The typical result is that R1 behavior returns or resurges when reinforcment for R2 is removed. ",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2020,"Alessandri, Jérôme; Cançado, Carlos R X",Behavioural Processes,Context affects resurgence of negatively reinforced human behavior.,Resurgence is the recurrence of previously reinforced and later extinguished responding when alternative reinforcers are reduced or withdrawn,,1,,,1,,1,
2020,"Bolívar HA, Dallery J",Behavioural Processes,Effects of response cost magnitude on resurgence of human operant behavior," One form in particular, resurgence, has received notable attention in the past decade. Typically, researchers use the following three-phase approach to study resurgence: In Phase 1, some target response is reinforced; in Phase 2, that target response is placed on extinction and an alternative response is reinforced; and in Phase 3, the alternative response is no longer reinforced while the target response remains on extinction",1,,,1,,,1,
2020,"Brown, Katherine R; Greer, Brian D; Craig, Andrew R; Sullivan, William E; Fisher, Wayne W; Roane, Henry S",Journal of the Experimental Analysis of Behavior,Resurgence following differential reinforcement of alternative behavior implemented with and without extinction.,"Translational researchers have placed considerable focus on resurgence, or the reemergence of previous behavior resulting from a general worsening of reinforcement conditions, as such conditions occur frequently in and outside the clinic",,1,,,1,,1,
2020,"Cook, Jemma E; Chandler, Cassie; Rüedi-Bettschen, Daniela; Taylor, Ian; Patterson, Sean; Platt, Donna M",Psychology of Addictive Behaviors,Changes in the elimination and resurgence of alcohol-maintained behavior in rats and the effects of naltrexone.,The process of relapse that occurs following the loss of alternative reinforcers provided in treatment is known as resurgence,,1,,,1,,1,
2020,"Craig, A. R., Sullivan, W. E., Derrenbacker, K., Rimal, A., DeRosa, N. M., & Roane, H. S.",Learning & Motivation,An evaluation of resurgence in mice,Previously eliminated behavior tends to relapse when an alternative source of reinforcement that was made available during response elimination is either suspended or reduced this form of relapse is termed resurgence,,1,,,1,,1,
2020,"Diaz-Salvat, Claudia C; St Peter, Claire C; Shuler, Natalie J",Journal of Applied Behavior Analysis,Increased number of responses may account for reduced resurgence following serial training.," In the first phase of a resurgence evaluation, challenging behavior is reinforced. In the second phase, reinforcement for the challenging behavior is withheld (extinction) and an alternative response is reinforced. In the third phase, reinforcement conditions for the alternative response are worsened in some way (e.g., reduction in reinforcement or quality of reinforcement) and challenging behavior resurges.",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2020,"Elcoro, M., Lattal, K. A., & Choromanski, M.",Mexican Journal of Behavior Analysis,Repeated operant response resurgence with a peak-interval procedure,"The most common definition of resurgence is the recurrence of previously reinforced behavior during extinction of another, more recently reinforced behavior",,1,,,1,,1,
2020,"Galizio, A., Friedel, J. E., & Odum, A. L.",Journal of the Experimental Analysis of Behavior,An investigation of resurgence of reinforced behavioral variability in humans,Resurgence is defined as the reoccurrence of a previously extinguished target behavior after an alternative source of reinforcement  is suspended,,1,,,1,,1,
2020,"Hernandez, CM, Madrigal, KD, & Flores, CJ",Learning & Motivation,Resurgence after different number of target-extinction or alternative-reinforcement sessions in rats,"Resurgence refers to the recurrence of previously-extinguished responding when recently-established alternative responding is also placed under extinction conditions –that is, no reinforcer is delivered upon responding",,1,,,1,,1,
2020,"Houchins, A. L., Williams, C. L., & St. Peter, C. C.",The Psychological Record,Time-out during alternative reinforcement does not reduce resurgence: An exploratory study.,Resurgence is the reemergence of a previously reinforced response after that response has been extinguished and reinforcement conditions for an alternative response have worsened,,1,,,1,,1,
2020,"Kuroda T, Gilroy SP, Cançado CRX, Podlesnik CA",Behavioural Processes,Effects of punishing target response during extinction on resurgence and renewal in zebrafish (Danio rerio),"With resurgence, a target response is reinforced in Phase 1,  followed by extinction while introducing a reinforcement contingency for an alternative response in Phase 2. In Phase 3, target responding recurs despite the ongoing extinction contingency upon worsening the consequence of the alternative response. ",1,,,1,,,1,Primarly a procedural definition; yet the process is also described with referennce to Phase 3
2020,"Nighbor, T. D., Oliver, A. C., & Lattal, K. A.",Behavioural Processes,Resurgence without overall worsening of alternative reinforcement,"Resurgence, the recurrence of a previously, but not currently, reinforced target response when the conditions of reinforcement of an alternative response are worsened, has been investigated most freuently when reinforcement of the contemporary response is discontinued",,1,,,1,,1,
2020,"Podlesnik, Christopher A.; Ritchey, Carolyn M.; Kuroda, Toshikazu",Behavioural Processes,Repeated resurgence with and without a context change,Resurgence is the return of a previously reinforced and then exinguished operant response when extinguishing or reducing an alternative source of reinforcement,,1,,,1,,1,
2020,"Robinson, Théo P.; Kelley, Michael E.",Journal of the Experimental Analysis of Behavior,Renewal and resurgence phenomena generalize to Amazon's Mechanical Turk,"Resurgence is a particularly relevant arrangement as it mimics perfectly situations that often arise in clinical settings. For example, consider a child who engagesin aggression to access attention because appropriate requests are ignored. Next, appropriate requests are reinforced, and aggression is placed on extinction. Finally, both appropriate requests and aggression are both placed on extinction. One might expect the child to engage in appropriate requests for a bit, as that response was more recently reinforced. However, as the child contacts extinction, it becomes increasingly more likely that he/she might engage in another behavior, such as another topography in the reponse class—or perhaps the topography that was most recently reinforced",1,,,1,,,1,
2020,"Shahan, T. A., Browning, K. O., Nist, A. N., & Sutton, G. M.",Journal of the Experimental Analysis of Behavior,Resurgence and downshifts in alternative reinforcement rate,Resurgence is an increase in a previously suppressed behavior resulting from a relativeworsening in conditions for a more recently reinforced behavior,,1,,,1,,1,
2020,"Shahan, Timothy A; Browning, Kaitlyn O; Nall, Rusty W",Journal of the Experimental Analysis of Behavior,Resurgence as Choice in Context: Treatment duration and on/off alternative reinforcement.,Resurgence is an increase in a previously suppressed behavior resulting from a relative worsening in conditions for a more recently reinforced behavior,,1,,,1,,1,
2020,"Shvarts, Samuel; Jimenez-Gomez, Corina; Bai, John Y H; Thomas, Rachel R; Oskam, James J; Podlesnik, Christopher A",Journal of the Experimental Analysis of Behavior,Examining stimuli paired with alternative reinforcement to mitigate resurgence in children diagnosed with autism spectrum disorder and pigeons.,Resurgence is defined as the recurrence of a previously reinforced and extinguished target response when reinforcement is decreased or eliminated for a more recently reinforced alternative response,,1,,1,,,0,
2020,"Williams, Catherine L; St Peter, Claire C",Journal of the Experimental Analysis of Behavior,Resurgence of previously taught academic responses.,Resurgence refers to an increase in a previously reinforced response when the reinforcement conditions for an alternative response worsen,,1,,,1,,1,
